type;title;code;description;vars;rounds;comment
defense;Rollback;;Remove last card put on the selected game.;;;"We know, we know, life is unfair, thanks Calimero!"
defense;Rollback;;Remove last card put on the selected game.;;;"We know, we know, life is unfair, thanks Calimero!"
defense;Refactoring;;Remove a <br>"Legacy code" or "Condition" card.;;;"Cheers!"
defense;Refactoring;;Remove a <br>"Legacy code" or "Condition" card.;;;"Cheers!"
defense;Refactoring;;Remove a <br>"Legacy code" or "Condition" card.;;;"Cheers!"
defense;Refactoring;;Remove a <br>"Legacy code" or "Condition" card.;;;"Cheers!"
defense;Refactoring;;Remove a <br>"Legacy code" or "Condition" card.;;;"Cheers!"
defense;Refactoring;;Remove a <br>"Legacy code" or "Condition" card.;;;"Cheers!"
defense;Refactoring;;Remove a <br>"Legacy code" or "Condition" card.;;;"Cheers!"
defense;Firewall;;"Return any attack<br>to its sender's game!";;;"No need to be sorry :)"
defense;Firewall;;"Return any attack<br>to its sender's game!";;;"No need to be sorry :)"
defense;Test Harness;"<div style='margin-top: -10px;'>expect(code)<br>&nbsp;&nbsp;.toBe(correct);</div>";"Limits value to -/+1 and -/+2 but forbids Memory Leak and Condition";"&#10063;";;;
defense;Test Harness;"<div style='margin-top: -10px;'>expect(code)<br>&nbsp;&nbsp;.toBe(correct);</div>";"Limits value to -/+1 and -/+2 but forbids Memory Leak and Condition";"&#10063;";;;
bonus;Pair programming;;<div style='margin-top: -30px'>Draw 3 cards with another player and agree on how to use them or discard everything!</div>;;;"Hey mate!"
bonus;Pair programming;;<div style='margin-top: -30px'>Draw 3 cards with another player and agree on how to use them or discard everything!</div>;;;"Hey mate!"
bonus;Pair programming;;<div style='margin-top: -30px'>Draw 3 cards with another player and agree on how to use them or discard everything!</div>;;;"Hey mate!"
bonus;Pull request;<div style='margin-top: -30px'>git checkout varA && git rebase varB<div class=or>or</div>git checkout varB && git rebase varA</div>;<div style='margin-top: -20px'>Merge (rebase)<br>vars A and B. Fusion your 2 vars in 1.</div>;;;
bonus;Pull request;<div style='margin-top: -30px'>git checkout varA && git rebase varB<div class=or>or</div>git checkout varB && git rebase varA</div>;<div style='margin-top: -20px'>Merge (rebase)<br>vars A and B. Fusion your 2 vars in 1.</div>;;;
bonus;Continuous deployment;"if (var % 7 == 0) {<br>&nbsp;&nbsp;playTwice();<br>}";<div style='margin-top: -20px'>Play twice when the selected var is a<br>multiple of 7.</div>;"&#10063;";"&#9850;";
bonus;Continuous deployment;"if (var % 5 == 0) {<br>&nbsp;&nbsp;playTwice();<br>}";<div style='margin-top: -20px'>Play twice when the selected var is a<br>multiple of 5.</div>;"&#10063;";"&#9850;";
bonus;Feature Flipping;"<center>featureOff = true;</center>";"Delete 1 card anywhere<br>(any vars, any hands).";;;No mercy!
bonus;Feature Flipping;"<center>featureOff = true;</center>";"Delete 1 card anywhere<br>(any vars, any hands).";;;No mercy!
bonus;Feature Flipping;"<center>featureOff = true;</center>";"Delete 1 card anywhere<br>(any vars, any hands).";;;No mercy!
bonus;Feature Flipping;"<center>featureOff = true;</center>";"Delete 1 card anywhere<br>(any vars, any hands).";;;No mercy!
bonus;Open Source;;"<div style='margin-top: -30px'>All players put their hand face up on the table for 2 rounds.</div>";;"&#9844;";"...and star us on Github :)<div class=link>http://github.com/code-with-cards</div>"
bonus;Open Source;;"<div style='margin-top: -30px'>All players put their hand face up on the table for 2 rounds.</div>";;"&#9844;";"...and star us on Github :)<div class=link>http://github.com/code-with-cards</div>"
bonus;Mob Programming;;<div style='margin-top: -30px'>All cards change hands in the direction decided by the card player</div>;;;"Hey folks, let's work <br>as a team!"
bonus;Mob Programming;;<div style='margin-top: -30px'>All cards change hands in the direction decided by the card player</div>;;;"Hey folks, let's work <br>as a team!"
value;Increment by 1;"<div class=simpleCode>var += 1;</div>";"Increment one of <br>your var by 1.";;;42 here we come!
value;Increment by 1;"<div class=simpleCode>var += 1;</div>";"Increment one of <br>your var by 1.";;;42 here we come!
value;Increment by 1;"<div class=simpleCode>var += 1;</div>";"Increment one of <br>your var by 1.";;;42 here we come!
value;Increment by 1;"<div class=simpleCode>var += 1;</div>";"Increment one of <br>your var by 1.";;;42 here we come!
value;Increment by 1;"<div class=simpleCode>var += 1;</div>";"Increment one of <br>your var by 1.";;;42 here we come!
value;Increment by 1;"<div class=simpleCode>var += 1;</div>";"Increment one of <br>your var by 1.";;;42 here we come!
value;Increment by 1;"<div class=simpleCode>var += 1;</div>";"Increment one of <br>your var by 1.";;;42 here we come!
value;Increment by 1;"<div class=simpleCode>var += 1;</div>";"Increment one of <br>your var by 1.";;;42 here we come!
value;Increment by 1;"<div class=simpleCode>var += 1;</div>";"Increment one of <br>your var by 1.";;;42 here we come!
value;Increment by 1;"<div class=simpleCode>var += 1;</div>";"Increment one of <br>your var by 1.";;;42 here we come!
value;Increment by 2;"<div class=simpleCode>var += 2;</div>";Increment one of <br>your var by 2.;;;
value;Increment by 2;"<div class=simpleCode>var += 2;</div>";Increment one of <br>your var by 2.;;;
value;Increment by 2;"<div class=simpleCode>var += 2;</div>";Increment one of <br>your var by 2.;;;
value;Increment by 2;"<div class=simpleCode>var += 2;</div>";Increment one of <br>your var by 2.;;;
value;Increment by 2;"<div class=simpleCode>var += 2;</div>";Increment one of <br>your var by 2.;;;
value;Increment by 2;"<div class=simpleCode>var += 2;</div>";Increment one of <br>your var by 2.;;;
value;Increment by 2;"<div class=simpleCode>var += 2;</div>";Increment one of <br>your var by 2.;;;
value;Increment by 2;"<div class=simpleCode>var += 2;</div>";Increment one of <br>your var by 2.;;;
value;Increment by 2;"<div class=simpleCode>var += 2;</div>";Increment one of <br>your var by 2.;;;
value;Increment by 2;"<div class=simpleCode>var += 2;</div>";Increment one of <br>your var by 2.;;;
value;Increment by 3;"<div class=simpleCode>var += 3;</div>";Increment one of <br>your var by 3.;;;
value;Increment by 3;"<div class=simpleCode>var += 3;</div>";Increment one of <br>your var by 3.;;;
value;Increment by 3;"<div class=simpleCode>var += 3;</div>";Increment one of <br>your var by 3.;;;
value;Increment by 3;"<div class=simpleCode>var += 3;</div>";Increment one of <br>your var by 3.;;;
value;Increment by 3;"<div class=simpleCode>var += 3;</div>";Increment one of <br>your var by 3.;;;
value;Increment by 3;"<div class=simpleCode>var += 3;</div>";Increment one of <br>your var by 3.;;;
value;Increment by 3;"<div class=simpleCode>var += 3;</div>";Increment one of <br>your var by 3.;;;
value;Increment by 3;"<div class=simpleCode>var += 3;</div>";Increment one of <br>your var by 3.;;;
value;Increment by 3;"<div class=simpleCode>var += 3;</div>";Increment one of <br>your var by 3.;;;
value;Increment by 3;"<div class=simpleCode>var += 3;</div>";Increment one of <br>your var by 3.;;;
value;Increment by 5;"<div class=simpleCode>var += 5;</div>";Increment one of <br>your var by 5.;;;
value;Increment by 5;"<div class=simpleCode>var += 5;</div>";Increment one of <br>your var by 5.;;;
value;Increment by 5;"<div class=simpleCode>var += 5;</div>";Increment one of <br>your var by 5.;;;
value;Increment by 5;"<div class=simpleCode>var += 5;</div>";Increment one of <br>your var by 5.;;;
value;Increment by 5;"<div class=simpleCode>var += 5;</div>";Increment one of <br>your var by 5.;;;
value;Increment by 5;"<div class=simpleCode>var += 5;</div>";Increment one of <br>your var by 5.;;;
value;Increment by 5;"<div class=simpleCode>var += 5;</div>";Increment one of <br>your var by 5.;;;
value;Increment by 5;"<div class=simpleCode>var += 5;</div>";Increment one of <br>your var by 5.;;;
value;Increment by 8;"<div class=simpleCode>var += 8;</div>";Increment one of <br>your var by 8.;;;
value;Increment by 8;"<div class=simpleCode>var += 8;</div>";Increment one of <br>your var by 8.;;;
value;Increment by 8;"<div class=simpleCode>var += 8;</div>";Increment one of <br>your var by 8.;;;
value;Increment by 8;"<div class=simpleCode>var += 8;</div>";Increment one of <br>your var by 8.;;;
value;Decrement by 1;"<div class=simpleCode>var -= 1;</div>";Decrement one of <br>your var by 1.;;;
value;Decrement by 1;"<div class=simpleCode>var -= 1;</div>";Decrement one of <br>your var by 1.;;;
value;Decrement by 1;"<div class=simpleCode>var -= 1;</div>";Decrement one of <br>your var by 1.;;;
value;Decrement by 1;"<div class=simpleCode>var -= 1;</div>";Decrement one of <br>your var by 1.;;;
value;Decrement by 1;"<div class=simpleCode>var -= 1;</div>";Decrement one of <br>your var by 1.;;;
value;Decrement by 1;"<div class=simpleCode>var -= 1;</div>";Decrement one of <br>your var by 1.;;;
value;Decrement by 1;"<div class=simpleCode>var -= 1;</div>";Decrement one of <br>your var by 1.;;;
value;Decrement by 2;"<div class=simpleCode>var -= 2;</div>";Decrement one of <br>your var by 2.;;;
value;Decrement by 2;"<div class=simpleCode>var -= 2;</div>";Decrement one of <br>your var by 2.;;;
value;Decrement by 2;"<div class=simpleCode>var -= 2;</div>";Decrement one of <br>your var by 2.;;;
value;Decrement by 2;"<div class=simpleCode>var -= 2;</div>";Decrement one of <br>your var by 2.;;;
value;Repeat 2;"&nbsp;&nbsp;&nbsp;&nbsp;2 times {<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;...<br>&nbsp;&nbsp;&nbsp;&nbsp;}";The next yellow card is valued twice.;;;
value;Repeat 2;"&nbsp;&nbsp;&nbsp;&nbsp;2 times {<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;...<br>&nbsp;&nbsp;&nbsp;&nbsp;}";The next yellow card is valued twice.;;;
value;Repeat 2;"&nbsp;&nbsp;&nbsp;&nbsp;2 times {<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;...<br>&nbsp;&nbsp;&nbsp;&nbsp;}";The next yellow card is valued twice.;;;
value;Repeat 3;"&nbsp;&nbsp;&nbsp;&nbsp;3 times {<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;...<br>&nbsp;&nbsp;&nbsp;&nbsp;}";The next yellow card is valued three times.;;;Reusing is caring!
value;Repeat 3;"&nbsp;&nbsp;&nbsp;&nbsp;3 times {<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;...<br>&nbsp;&nbsp;&nbsp;&nbsp;}";The next yellow card is valued three times.;;;Reusing is caring!
value;Repeat ${PlayersCount};"val n = nbPlayers;<br>(1 to n).foreach {<br>&nbsp;&nbsp;...<br>}";The next yellow card is valued as many times as there are players.;;;
other;A;;;;;
other;B;;;;;
other;A;;;;;
other;B;;;;;
other;A;;;;;
other;B;;;;;
other;A;;;;;
other;B;;;;;
other;A;;;;;
other;B;;;;;
other;A;;;;;
other;B;;;;;
